"","Accn","tar","tid","qry","qid","eva","sca","bia","evd","scd","bid","Source","Organism_Taxonomic_ID","Organism.Name"
"1","GCA_002284615.2","KAF5839017.1"," -"," PTHR19842.orig.30.pi"," -",1.1e-135,451.7,1.4,3e-136,451.5,1.4,"NCBI",3046,"Dunaliella salina"
"2","GCA_000002595.3","PNW70296.1"," -"," PTHR19842.orig.30.pi"," -",6.1e-137,455.9,2,3e-138,455.7,2,"NCBI",3055,"Chlamydomonas reinhardtii"
"3","GCA_000143455.1","EFJ46224.1"," -"," PTHR19842.orig.30.pi"," -",9.9e-138,458.1,3.9,2e-138,457.8,3.9,"NCBI",3068,"Volvox carteri f. nagariensis"
"4","GCA_000733215.1","KFM27003.1"," -"," PTHR19842.orig.30.pi"," -",1.2e-137,456.8,0.3,5e-138,456.5,0.3,"NCBI",3075,"Auxenochlorella protothecoides"
"5","GCA_002245835.2","PRW61184.1"," -"," PTHR19842.orig.30.pi"," -",6.6e-142,471.3,2.3,9e-143,471.1,2.3,"NCBI",3076,"Chlorella sorokiniana"
"6","GCA_023343905.1","KAI3424206.1"," -"," PTHR19842.orig.30.pi"," -",6.3e-142,471.5,2.4,5e-143,471.2,2.4,"NCBI",3077,"Chlorella vulgaris"
"7","GCA_030272155.1","WIA40618.1"," -"," PTHR19842.orig.30.pi"," -",1.2e-125,418.6,0,2e-126,418.6,0,"NCBI",3088,"Tetradesmus obliquus"
"8","GCA_031763795.1","KAK2080935.1"," -"," PTHR19842.orig.30.pi"," -",9.4e-138,456.8,0.5,1e-138,456.5,0.5,"NCBI",3111,"Prototheca wickerhamii"
"9","GCA_001584585.1","KXZ51001.1"," -"," PTHR19842.orig.30.pi"," -",6.6e-137,455.5,7.6,9e-138,455.3,7.6,"NCBI",33097,"Gonium pectorale"
"10","GCA_001247695.2","KAK3284349.1"," -"," PTHR19842.orig.30.pi"," -",5.8e-141,470.7,0.4,7e-141,470.4,0.4,"NCBI",36881,"Cymbomonas tetramitiformis"
"11","GCA_025201885.1","KAI8467679.1"," -"," PTHR19842.orig.30.pi"," -",2.2e-137,457,1.7,7e-138,456.7,1.7,"NCBI",39955,"Monoraphidium minutum"
"12","GCA_040144395.1","KAK9806852.1"," -"," PTHR19842.orig.30.pi"," -",1.2e-138,461,1.9,4e-139,460.7,1.9,"NCBI",41462,"[Myrmecia] bisecta"
"13","GCA_002220235.1","CCO16816.1"," -"," PTHR19842.orig.30.pi"," -",3.3e-128,425.9,0.9,4e-128,425.6,0.9,"NCBI",41875,"Bathycoccus prasinos"
"14","GCA_015473125.1","GHP01956.1"," -"," PTHR19842.orig.30.pi"," -",5e-131,435.7,0.1,6e-132,435.5,0.1,"NCBI",41880,"Pycnococcus provasolii"
"15","GCA_030144725.1","KAJ9505625.1"," -"," PTHR19842.orig.30.pi"," -",3.9e-137,457.2,0.6,5e-137,456.8,0.6,"NCBI",44745,"Haematococcus lacustris"
"16","GCA_016858145.1","KAG2489052.1"," -"," PTHR19842.orig.30.pi"," -",7.8e-138,458.9,2.1,4e-139,458.6,2.1,"NCBI",47281,"Edaphochlamys debaryana"
"17","GCA_021605115.1","GFR50326.1"," -"," PTHR19842.orig.30.pi"," -",2.3e-138,460.1,3.6,8e-139,459.8,3.6,"NCBI",47775,"Astrephomene gubernaculifera"
"18","GCA_002891735.1","PNH09225.1"," -"," PTHR19842.orig.30.pi"," -",7.1e-138,458.5,3.2,6e-139,458.2,3.2,"NCBI",47790,"Tetrabaena socialis"
"19","GCA_016834605.1","KAG2438000.1"," -"," PTHR19842.orig.30.pi"," -",5.2e-137,455.9,2,3e-138,455.7,2,"NCBI",51695,"Chlamydomonas incerta"
"20","GCA_019650175.1","GIL44937.1"," -"," PTHR19842.orig.30.pi"," -",9.3e-137,455.6,3.9,1e-137,455.3,3.9,"NCBI",51714,"Volvox africanus"
"21","GCA_002158475.1","OUS48493.1"," -"," PTHR19842.orig.30.pi"," -",1.2e-131,437.2,0.3,5e-132,437,0.3,"NCBI",70448,"Ostreococcus tauri"
"22","GCA_905146915.1","CAD7701161.1"," -"," PTHR19842.orig.30.pi"," -",2.2e-121,404,0.9,4e-122,403.8,0.9,"NCBI",121088,"Ostreobium quekettii"
"23","GCA_000611645.1","KIZ05278.1"," -"," PTHR19842.orig.30.pi"," -",5e-137,456,2.4,6e-137,455.7,2.4,"NCBI",145388,"Monoraphidium neglectum"
"24","GCA_040182555.1","KAK9915542.1"," -"," PTHR19842.orig.30.pi"," -",5.9e-137,455.1,1.3,2e-138,454.8,1.3,"NCBI",248742,"Coccomyxa subellipsoidea"
"25","GCA_000090985.2","ACO69066.1"," -"," PTHR19842.orig.30.pi"," -",9.7e-137,454.3,0.8,1e-137,454.1,0.8,"NCBI",296587,"Micromonas commoda"
"26","GCA_003203535.1","GBF96994.1"," -"," PTHR19842.orig.30.pi"," -",2.9e-137,456.4,2.5,4e-138,456.2,2.5,"NCBI",307507,"Raphidocelis subcapitata"
"27","GCA_030267485.1","GLC33140.1"," -"," PTHR19842.orig.30.pi"," -",5.7e-138,458.9,4.1,8e-139,458.6,4.1,"NCBI",330485,"Pleodorina starrii"
"28","GCA_040144335.1","KAK9843735.1"," -"," PTHR19842.orig.30.pi"," -",3e-139,462.5,1.6,6e-140,462.2,1.6,"NCBI",381761,"Elliptochloris bilobata"
"29","GCA_000092065.1","ABO96735.1"," -"," PTHR19842.orig.30.pi"," -",3.6e-132,438.9,0.7,3e-133,438.6,0.7,"NCBI",436017,"Ostreococcus lucimarinus CCE9901"
"30","GCA_002245815.2","PSC74299.1"," -"," PTHR19842.orig.30.pi"," -",4.1e-142,472,2.5,9e-143,471.7,2.5,"NCBI",554055,"Micractinium conductrix"
"31","GCA_000147415.1","EFN53592.1"," -"," PTHR19842.orig.30.pi"," -",3.6e-142,472.1,2.3,3e-143,471.8,2.3,"NCBI",554065,"Chlorella variabilis"
"32","GCA_000151265.1","EEH53956.1"," -"," PTHR19842.orig.30.pi"," -",8.3e-134,444.7,0.5,8e-135,444.5,0.5,"NCBI",564608,"Micromonas pusilla CCMP1545"
"33","GCA_000258705.1","EIE25703.1"," -"," PTHR19842.orig.30.pi"," -",1.4e-135,450.4,1.9,7e-136,450.2,1.9,"NCBI",574566,"Coccomyxa subellipsoidea C-169"
"34","GCA_040144405.1","KAK9810741.1"," -"," PTHR19842.orig.30.pi"," -",6.2e-130,432.2,1.3,3e-131,431.9,1.3,"NCBI",706552,"Symbiochloris irregularis"
"35","GCA_916048055.1","CAG9467026.1"," -"," PTHR19842.orig.30.pi"," -",5e-139,461.5,2.1,7e-140,461.3,2.1,"NCBI",765719,"Pedinophyceae sp. YPF-701"
"36","GCA_040144355.1","KAK9824944.1"," -"," PTHR19842.orig.30.pi"," -",4.4e-131,436,0.8,3e-132,435.7,0.8,"NCBI",904363,"Apatococcus lobatus"
"37","GCA_002335675.1","GAX74908.1"," -"," PTHR19842.orig.30.pi"," -",1.5e-137,457.5,5.4,7e-138,457.3,5.4,"NCBI",1157962,"Chlamydomonas eustigma"
"38","GCA_963575595.1","CAK0779347.1"," -"," PTHR19842.orig.30.pi"," -",3.8e-133,442.6,1.9,5e-134,442.4,1.9,"NCBI",1274662,"Coccomyxa viridis"
"39","GCA_000690575.1","KDD75914.1"," -"," PTHR19842.orig.30.pi"," -",2.7e-126,419.2,0.2,1e-124,409.8,0.2,"NCBI",1291522,"Helicosporidium sp. ATCC 50920"
"40","GCA_038396805.1","WZN59685.1"," -"," PTHR19842.orig.30.pi"," -",9.9e-130,431.1,1,2e-130,430.9,1,"NCBI",1461544,"Chloropicon roscoffensis"
"41","GCA_034226945.1","WPT15690.1"," -"," PTHR19842.orig.30.pi"," -",1.8e-119,396.9,0.3,5e-120,396.5,0.3,"NCBI",1470871,"Picochlorum sp. SENEW3"
"42","GCA_019044685.2","KAH7621389.1"," -"," PTHR19842.orig.30.pi"," -",1.4e-135,450.4,2.9,7e-136,450.1,2.9,"NCBI",1650286,"Chlorella desiccata (nom. nud.)"
"43","GCA_016618255.1","KAG1671706.1"," -"," PTHR19842.orig.30.pi"," -",5.6e-137,455.7,4.9,9e-138,455.5,4.9,"NCBI",1653778,"Chlamydomonas sp. UWO 241"
"44","GCA_019650255.1","GIM00973.1"," -"," PTHR19842.orig.30.pi"," -",7.4e-137,455.8,2.8,9e-138,455.5,2.8,"NCBI",1737510,"Volvox reticuliferus"
"45","GCA_007859695.1","QDZ19232.1"," -"," PTHR19842.orig.30.pi"," -",3.7e-130,432.5,1.4,2e-131,432.3,1.4,"NCBI",1764295,"Chloropicon primus"
"46","GCA_964261555.1","CAL8469887.1"," -"," PTHR19842.orig.30.pi"," -",1.5e-135,450.7,1.2,8e-136,450.4,1.2,"NCBI",1965095,"Coccomyxa elongata"
"47","GCA_040144375.1","KAK9861354.1"," -"," PTHR19842.orig.30.pi"," -",8.9e-32,109.8,2.2,6.1e-29,100.5,0.4,"NCBI",2026836,"Apatococcus fuscideae"
"48","GCA_016834595.1","KAG2450620.1"," -"," PTHR19842.orig.30.pi"," -",5e-137,455.9,2,6e-137,455.7,2,"NCBI",2026947,"Chlamydomonas schloesseri"
"49","GCA_020887355.1","BDA43899.1"," -"," PTHR19842.orig.30.pi"," -",3.1e-136,452.8,1.6,8e-137,452.5,1.6,"NCBI",2315456,"Coccomyxa sp. Obi"
"50","GCA_040746525.1","MEW5316867.1"," -"," PTHR19842.orig.30.pi"," -",9.9e-137,454.6,3.9,2e-137,454.3,3.9,"NCBI",2578422,"Sanguina aurantia"
"51","GCA_008636185.1","KAA6417079.1"," -"," PTHR19842.orig.30.pi"," -",7.5e-137,455.1,2.4,9e-137,454.9,2.4,"NCBI",2608996,"Trebouxia sp. A1-2"
"52","GCA_025026875.1","KAI7838831.1"," -"," PTHR19842.orig.30.pi"," -",1.4e-141,470.4,2.2,6e-142,470.2,2.2,"NCBI",2649997,"Chlorella ohadii"
